Service,Total Cost
Secureworks Taegis XDR,199919.99
Amazon Elastic Compute Cloud - Compute,38566.11
Tax,35161.3
EC2 - Other,32475.07
Coursera Enterprise Plan,31250
Amazon Simple Storage Service,23091.07
Claude Sonnet 4.6 (Amazon Bedrock Edition),19900.38
Amazon Relational Database Service,13151.69
Amazon SageMaker,11084.76
Amazon Elastic Container Service,6941.5
